id,Long,Lat,Lat and Long
50785,35.2907992,-4.05969643,aaaaBBaaaa
51630,36.65670893,-3.30921425,aaaBaaaaBB
17168,34.76786315,-5.00434437,aaaaaBBBBB
45559,38.05804609,-9.41867222,aaaaaaaBaa
49871,35.00612345,-10.950412,aaaaBBBaaB
52449,36.68527855,-3.30242017,aaaBaaaaBB
24806,36.39804116,-7.54138236,aaaaBBBaaa
28965,39.60741997,-10.89378645,aaaaaaBBaB
36301,39.2629507,-10.82358805,aaaaaaBBaB
54122,37.09610836,-3.25175375,aaaBaaaBaB
419,37.23324768,-3.24112116,aaaBaaaBaB
45750,37.68639178,-4.55597478,aaaaBaaaaB
653,33.66107435,-4.16572015,aaaaBBaBBa
14017,33.00768032,-3.2095291,aaaaaBaaaB
44607,35.61562385,-7.87029042,aaaBaBBaBB
40228,35.48288627,-10.91259619,aaaaBBaBaB
27714,39.85018977,-7.72794628,aaaaaaBaaB
28785,38.25402354,-4.5658016,aaaaaBBaaa
28330,31.58679783,-3.38780779,aaaaBaBBaB
18532,39.43852591,-10.58336646,aaaaaaBBaB
69961,39.32230666,-6.85026202,aaaaBaaaBB
55083,34.94362033,-9.35251465,aaaaBaaBBa
8691,31.04608844,-5.05419563,aaaaBBBBBB
30331,34.62104755,-5.16592646,aaaaaBBBBB
70970,33.72235857,-3.04712172,aaaBaaBBBa
61136,34.92959242,-9.15287185,aaaaBaaBBa
28799,35.42444315,-10.57968552,aaaaBBaBaB
46825,35.89487669,-6.14752205,aaaaBaBaBB
44718,0,-2.00E-08,aaaaBBaBBB
37350,36.29176128,-5.24231281,aaaBaaaBaa
65738,35.6124173,-3.35116762,aaaBBaaaBB
3271,32.86178245,-3.92819891,aaaaBBBaBa
42658,33.12453405,-4.85766882,aaaaaaaBBa
67523,35.66507527,-3.34770932,aaaBBaaaBB
37034,34.72199105,-8.86253212,aaaaBaBaaB
42432,34.70534261,-9.1394961,aaaaaaBaaa
27420,38.83713732,-4.77558442,aaaBaBBBBa
707,37.65808091,-3.7238624,aaaBaaBBaa
48489,37.47632192,-6.28331307,aaaaBaBBBB
51008,33.32603356,-8.88128573,aaaaaBaBBa
72562,40.04071287,-10.49203103,aaaaaBBaBa
10275,38.72134804,-5.17252308,aaaBaBBBBa
53540,33.14491487,-3.71753771,aaaaBBBaBa
43291,33.33199615,-2.70336413,aaaaaBBaBB
8813,33.13082951,-3.22665421,aaaaaBaaaB
62343,33.62516779,-8.86101931,aaaaBaaaaa
1649,32.35815302,-4.96546043,aaaaaBaaBa
8822,37.70648416,-4.00583487,aaaBaaBBaa
10352,33.66386327,-8.98179247,aaaaBaaaaa
50878,33.77857064,-3.06340514,aaaBaaBBBa
15266,33.58724528,-9.16743357,aaaaBaaaaa
51956,38.4236917,-4.6312447,aaaaaBBaaa
44099,37.12085919,-10.78502855,aaaBaaaaBa
59,33.59072198,-3.71955244,aaaaaBBaaB
51359,39.56082776,-9.13206159,aaaBaBaaaB
15962,0,-2.00E-08,aaaaBBaBBB
17853,33.06230846,-1.82664599,aaaBaBaBBa
42040,37.55433946,-3.28942377,aaaBaBBaaa
72243,35.99024647,-10.53404797,aaaBaBaaBB
63653,36.61868919,-3.29203785,aaaBaaaaBB
26510,33.77914543,-3.32682925,aaaaaBBaaB
72053,30.50096464,-2.59036242,aaaBaaBaaa
29351,34.25333419,-1.20066603,aaaaBBaBaa
51897,34.85944848,-4.97090922,aaaaaBBBBB
20376,35.10908924,-8.18809279,aaaaBBaaaB
26804,36.50348726,-8.55105463,aaaaaBaaBB
67303,36.80143513,-3.45135176,aaaaaBBBaB
69780,37.62786033,-3.13469202,aaaBaBBaaa
45374,0,-2.00E-08,aaaaBBaBBB
54665,37.22900273,-3.18441406,aaaBaaaBaB
39341,30.12795597,-4.24867926,aaaaBaaBaB
8869,37.45782761,-11.20866259,aaaBaaaaBa
20691,33.16618409,-8.942157,aaaaaBaBBa
19693,35.52646919,-4.48085439,aaaaBBaaaa
14321,31.9968789,-8.80386259,aaaBaaBBaB
63059,33.51920554,-3.13524663,aaaBaaBBBa
67403,39.05964828,-5.28936932,aaaBaBBBBa
28912,37.22600343,-3.27103862,aaaBaaaBaB
12549,35.56741628,-6.33698054,aaaaBaBaBB
24328,37.59031748,-3.7304578,aaaBaaBBaa
13750,32.0400396,-4.99156819,aaaaaBaaBa
1574,38.46742948,-4.8647269,aaaaaaaBBB
